Motor Vehicle Theft	108	November	2022	11/30/2022
Homicide	5	December	2022	12/31/2022
Rape	6	December	2022	12/31/2022
Robbery	32	December	2022	12/31/2022
Assault	93	December	2022	12/31/2022
Burglary	181	December	2022	12/31/2022
Larceny	457	December	2022	12/31/2022
Motor Vehicle Theft	206	December	2022	12/31/2022
Homicide	2	January	2023	1/31/2023
Rape	5	January	2023	1/31/2023
Robbery	51	January	2023	1/31/2023
Assault	116	January	2023	1/31/2023
Burglary	139	January	2023	1/31/2023
Larceny	587	January	2023	1/31/2023
Motor Vehicle Theft	332	January	2023	1/31/2023
Homicide	3	February	2023	2/28/2023
Rape	3	February	2023	2/28/2023
Robbery	34	February	2023	2/28/2023
Assault	94	February	2023	2/28/2023
Burglary	84	February	2023	2/28/2023
Larceny	399	February	2023	2/28/2023
Motor Vehicle Theft	226	February	2023	2/28/2023
Homicide	1	March	2023	3/31/2023
Rape	2	March	2023	3/31/2023
Robbery	25	March	2023	3/31/2023
Assault	75	March	2023	3/31/2023
Burglary	101	March	2023	3/31/2023
Larceny	510	March	2023	3/31/2023
Motor Vehicle Theft	242	March	2023	3/31/2023
Homicide	2	April	2023	4/30/2023
Rape	4	April	2023	4/30/2023
Robbery	34	April	2023	4/30/2023
Assault	98	April	2023	4/30/2023
Burglary	114	April	2023	4/30/2023
Larceny	519	April	2023	4/30/2023
Motor Vehicle Theft	208	April	2023	4/30/2023
Homicide	3	May	2023	5/31/2023
Rape	5	May	2023	5/31/2023
Robbery	42	May	2023	5/31/2023
Assault	125	May	2023	5/31/2023
Burglary	122	May	2023	5/31/2023
Larceny	562	May	2023	5/31/2023
Motor Vehicle Theft	320	May	2023	5/31/2023
Homicide	5	June	2023	6/30/2023
Rape	6	June	2023	6/30/2023
Robbery	57	June	2023	6/30/2023
Assault	102	June	2023	6/30/2023
Burglary	144	June	2023	6/30/2023
Larceny	588	June	2023	6/30/2023
Motor Vehicle Theft	379	June	2023	6/30/2023
Homicide	8	July	2023	7/31/2023
Rape	2	July	2023	7/31/2023
Robbery	48	July	2023	7/31/2023
Assault	151	July	2023	7/31/2023
Burglary	133	July	2023	7/31/2023
Larceny	624	July	2023	7/31/2023
Motor Vehicle Theft	240	July	2023	7/31/2023
Homicide	4	August	2023	8/31/2023
Rape	5	August	2023	8/31/2023
Robbery	49	August	2023	8/31/2023
Assault	135	August	2023	8/31/2023
Burglary	144	August	2023	8/31/2023
Larceny	635	August	2023	8/31/2023
Motor Vehicle Theft	249	August	2023	8/31/2023
Homicide	6	September	2023	9/30/2023
Rape	2	September	2023	9/30/2023
Robbery	41	September	2023	9/30/2023
Assault	119	September	2023	9/30/2023
Burglary	132	September	2023	9/30/2023
Larceny	606	September	2023	9/30/2023
Motor Vehicle Theft	132	September	2023	9/30/2023
Homicide	0	October	2023	10/31/2023
Rape	9	October	2023	10/31/2023
Robbery	42	October	2023	10/31/2023
Assault	133	October	2023	10/31/2023
Burglary	111	October	2023	10/31/2023
Larceny	566	October	2023	10/31/2023
Motor Vehicle Theft	157	October	2023	10/31/2023
Homicide	2	November	2023	11/30/2023
Rape	4	November	2023	11/30/2023
Robbery	39	November	2023	11/30/2023
Assault	93	November	2023	11/30/2023
Burglary	92	November	2023	11/30/2023
Larceny	579	November	2023	11/30/2023
Motor Vehicle Theft	180	November	2023	11/30/2023
Homicide	2	December	2023	12/31/2023
Rape	2	December	2023	12/31/2023
Robbery	39	December	2023	12/31/2023
Assault	96	December	2023	12/31/2023
Burglary	100	December	2023	12/31/2023
Larceny	633	December	2023	12/31/2023
Motor Vehicle Theft	190	December	2023	12/31/2023
Homicide	3	January	2024	1/31/2024
Rape	8	January	2024	1/31/2024
Robbery	40	January	2024	1/31/2024
Assault	68	January	2024	1/31/2024
Burglary	109	January	2024	1/31/2024
Larceny	528	January	2024	1/31/2024
Motor Vehicle Theft	167	January	2024	1/31/2024
Homicide	3	February	2024	2/28/2024
Rape	5	February	2024	2/28/2024
Robbery	28	February	2024	2/28/2024
Assault	107	February	2024	2/28/2024
Burglary	106	February	2024	2/28/2024
Larceny	531	February	2024	2/28/2024
Motor Vehicle Theft	197	February	2024	2/28/2024
Homicide	2	March	2024	3/31/2024
Rape	7	March	2024	3/31/2024
Robbery	31	March	2024	3/31/2024
Assault	96	March	2024	3/31/2024
Burglary	98	March	2024	3/31/2024
Larceny	604	March	2024	3/31/2024
Motor Vehicle Theft	174	March	2024	3/31/2024
Homicide	4	April	2024	4/30/2024
Rape	10	April	2024	4/30/2024
Robbery	31	April	2024	4/30/2024
Assault	113	April	2024	4/30/2024
Burglary	85	April	2024	4/30/2024
Larceny	587	April	2024	4/30/2024
Motor Vehicle Theft	155	April	2024	4/30/2024
Homicide	5	May	2024	5/31/2024
Rape	8	May	2024	5/31/2024
Robbery	51	May	2024	5/31/2024
Assault	135	May	2024	5/31/2024
Burglary	117	May	2024	5/31/2024
Larceny	607	May	2024	5/31/2024
Motor Vehicle Theft	137	May	2024	5/31/2024
Homicide	3	June	2024	6/30/2024
Rape	9	June	2024	6/30/2024
Robbery	40	June	2024	6/30/2024
Assault	137	June	2024	6/30/2024
Burglary	112	June	2024	6/30/2024
Larceny	729	June	2024	6/30/2024
Motor Vehicle Theft	190	June	2024	6/30/2024
Homicide	6	July	2024	7/31/2024
Rape	6	July	2024	7/31/2024
Robbery	49	July	2024	7/31/2024
Assault	126	July	2024	7/31/2024
Burglary	134	July	2024	7/31/2024
Larceny	733	July	2024	7/31/2024
Motor Vehicle Theft	168	July	2024	7/31/2024
Homicide	4	August	2024	8/31/2024
Rape	8	August	2024	8/31/2024
Robbery	59	August	2024	8/31/2024
Assault	106	August	2024	8/31/2024
Burglary	122	August	2024	8/31/2024
Larceny	740	August	2024	8/31/2024
Motor Vehicle Theft	145	August	2024	8/31/2024
Homicide	3	September	2024	9/30/2024
Rape	2	September	2024	9/30/2024
Robbery	10	September	2024	9/30/2024
Assault	38	September	2024	9/30/2024
Burglary	44	September	2024	9/30/2024
Larceny	252	September	2024	9/30/2024
Motor Vehicle Theft	36	September	2024	9/30/2024
Homicide	4	October	2024	10/31/2024
Rape	9	October	2024	10/31/2024
Robbery	39	October	2024	10/31/2024
Assault	133	October	2024	10/31/2024
Burglary	123	October	2024	10/31/2024
Larceny	701	October	2024	10/31/2024
Motor Vehicle Theft	120	October	2024	10/31/2024
Homicide	0	November	2024	11/30/2024
Rape	6	November	2024	11/30/2024
Robbery	28	November	2024	11/30/2024
Assault	109	November	2024	11/30/2024
Burglary	117	November	2024	11/30/2024
Larceny	572	November	2024	11/30/2024
Motor Vehicle Theft	101	November	2024	11/30/2024
Homicide	0	December	2024	12/31/2024
Rape	12	December	2024	12/31/2024
Robbery	31	December	2024	12/31/2024
Assault	97	December	2024	12/31/2024
Burglary	93	December	2024	12/31/2024
Larceny	521	December	2024	12/31/2024
Motor Vehicle Theft	102	December	2024	12/31/2024
